Index	Disease
0	Hepatitis, Autoimmune
1	Lymphangiectasis, Intestinal
2	Neuroectodermal Tumors, Primitive
3	Sleep Apnea Syndromes
4	Sickle Cell Trait
5	Eye Neoplasms
6	Vertigo
7	Brain Neoplasms
8	Corneal Neovascularization
9	Ureteral Obstruction
10	Adenocarcinoma, Bronchiolo-Alveolar
11	Cervical Rib Syndrome
12	Bardet-Biedl Syndrome
13	Diplopia
14	Jaw Abnormalities
15	Carotid-Cavernous Sinus Fistula
16	Endometritis
17	Urinary Bladder Calculi
18	Intestinal Obstruction
19	Pneumatosis Cystoides Intestinalis
20	Embolism, Fat
21	Lung Abscess
22	Siderosis
23	Epilepsies, Myoclonic
24	Scotoma
25	Basal Ganglia Diseases
26	Dental Occlusion, Traumatic
27	Cystinuria
28	Encephalitis, Tick-Borne
29	Cholecystitis, Acute
30	Parkinson Disease, Postencephalitic
31	Hemothorax
32	Medulloblastoma
33	Waldenstrom Macroglobulinemia
34	Spermatic Cord Torsion
35	Polyps
36	Legg-Perthes Disease
37	Chronic Disease
38	Community-Acquired Infections
39	Urethritis
40	Bronchial Fistula
41	Encopresis
42	Splenic Neoplasms
43	Anemia, Hypochromic
44	Fatty Liver, Alcoholic
45	Dysgerminoma
46	Syphilis, Cardiovascular
47	Jaundice, Obstructive
48	Anodontia
49	Diverticulum, Colon
50	Burning Mouth Syndrome
51	Common Variable Immunodeficiency
52	Hyperkinesis
53	Noonan Syndrome
54	Arthritis
55	Adenoma
56	Histiocytic Necrotizing Lymphadenitis
57	Overnutrition
58	Ossification of Posterior Longitudinal Ligament
59	Prosthesis-Related Infections
60	Ehrlichiosis
61	Dyspnea
62	Sex Chromosome Aberrations
63	Irritable Bowel Syndrome
64	Mediastinitis
65	Diffuse Axonal Injury
66	Pseudarthrosis
67	Radius Fractures
68	Esophageal Motility Disorders
69	Hyperinsulinism
70	Scleroderma, Diffuse
71	Epilepsy, Temporal Lobe
72	Sturge-Weber Syndrome
73	Coloboma
74	Inflammation
75	Hyperostosis Frontalis Interna
76	Anomia
77	Blood Protein Disorders
78	Achondroplasia
79	Persistent Vegetative State
80	Epiglottitis
81	Bipolar Disorder
82	Congenital Disorders of Glycosylation
83	Mucolipidoses
84	Neuronal Ceroid-Lipofuscinoses
85	Duodenitis
86	Aneurysm, False
87	Erythromelalgia
88	Coronary Thrombosis
89	Abetalipoproteinemia
90	Diverticulitis, Colonic
91	Hypothalamic Diseases
92	Pulmonary Veno-Occlusive Disease
93	Mesothelioma
94	Cholesteatoma, Middle Ear
95	Hepatopulmonary Syndrome
96	Burns, Chemical
97	Cranial Nerve Diseases
98	Panniculitis, Nodular Nonsuppurative
99	Pantothenate Kinase-Associated Neurodegeneration
100	Neoplasms, Second Primary
101	Alphavirus Infections
102	Psychomotor Agitation
103	Arthritis, Juvenile Rheumatoid
104	Salpingitis
105	Pleural Neoplasms
106	Femur Head Necrosis
107	Carcinoma, Ductal, Breast
108	MPTP Poisoning
109	Obesity, Abdominal
110	Gastric Outlet Obstruction
111	Lymphocytic Choriomeningitis
112	POEMS Syndrome
113	Labyrinthitis
114	Causalgia
115	Syncope, Vasovagal
116	Systemic Inflammatory Response Syndrome
117	Albinism
118	Autistic Disorder
119	Hyperthyroidism
120	Hyphema
121	Maxillary Sinusitis
122	Fetal Growth Retardation
123	Post-Concussion Syndrome
124	Pain, Postoperative
125	Maxillary Neoplasms
126	Quadriplegia
127	Horner Syndrome
128	Rubella Syndrome, Congenital
129	Arthritis, Infectious
130	Adenoma, Bile Duct
131	Pseudobulbar Palsy
132	Hypoalbuminemia
133	Facial Neuralgia
134	Rh Isoimmunization
135	Stomatitis
136	Facial Dermatoses
137	Pseudotumor Cerebri
138	Carbon Tetrachloride Poisoning
139	Creutzfeldt-Jakob Syndrome
140	Erythema
141	Intestinal Neoplasms
142	Hypertrophy
143	Coronary Vessel Anomalies
144	Carcinoma, Basal Cell
145	Myopia
146	Klinefelter Syndrome
147	Leprosy
148	Helicobacter Infections
149	Angiolymphoid Hyperplasia with Eosinophilia
150	Bronchopulmonary Dysplasia
151	Chronobiology Disorders
152	Tooth, Impacted
153	Eating Disorders
154	Ventricular Outflow Obstruction
155	Pleural Effusion, Malignant
156	Neurotic Disorders
157	Alexia, Pure
158	Granuloma, Foreign-Body
159	Nervous System Neoplasms
160	Goldenhar Syndrome
161	Demyelinating Diseases
162	Encephalomalacia
163	Protein-Losing Enteropathies
164	Hemolytic-Uremic Syndrome
165	Premature Birth
166	Phobic Disorders
167	Myotonia
168	Ductus Arteriosus, Patent
169	Duodenal Neoplasms
170	Synostosis
171	Spinal Muscular Atrophies of Childhood
172	Nephritis, Interstitial
173	Pressure Ulcer
174	Lateral Medullary Syndrome
175	Riboflavin Deficiency
176	Mood Disorders
177	Heart Aneurysm
178	Mouth Neoplasms
179	Hyperglycinemia, Nonketotic
180	Myasthenic Syndromes, Congenital
181	Eyelid Neoplasms
182	Heredodegenerative Disorders, Nervous System
183	Vesico-Ureteral Reflux
184	Auditory Perceptual Disorders
185	Pain, Intractable
186	Neuromuscular Junction Diseases
187	Vaginal Diseases
188	Ophthalmoplegia
189	Ovarian Diseases
190	Emphysema
191	Thyroglossal Cyst
192	Mouth Diseases
193	Water-Electrolyte Imbalance
194	Pleural Diseases
195	Osteolysis
196	Myocardial Ischemia
197	Albinism, Oculocutaneous
198	Facial Paralysis
199	Hepatitis
200	Diurnal Enuresis
201	Fetal Membranes, Premature Rupture
202	Lipoid Proteinosis of Urbach and Wiethe
203	Foreign-Body Reaction
204	Hyperoxaluria
205	Vocal Cord Paralysis
206	Bone Cysts, Aneurysmal
207	Fanconi Syndrome
208	Parvoviridae Infections
209	Paraphilias
210	Thiamine Deficiency
211	Leukopenia
212	Gastrointestinal Hemorrhage
213	Status Epilepticus
214	Spondylosis
215	Rickettsia Infections
216	Skin Diseases, Vascular
217	Tooth Erosion
218	Nystagmus, Pathologic
219	Central Nervous System Vascular Malformations
220	Phenylketonuria, Maternal
221	Morphine Dependence
222	Soft Tissue Neoplasms
223	Leiomyosarcoma
224	Aphasia
225	Renal Artery Obstruction
226	Neoplasms, Hormone-Dependent
227	Beckwith-Wiedemann Syndrome
228	Dermatitis, Exfoliative
229	Xanthomatosis, Cerebrotendinous
230	Angioid Streaks
